uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)	f1(training_oov)	f1(testing_oov)
bfbd3842-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	0.01	55.91	59.36	65.39	67.46
bfbce932-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	1.0	85.51	84.35	89.42	87.93
bfbca4a4-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	0.001	0.09	0.0	19.28	17.18
bfbd8dba-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	10	0.01	50.17	53.78	61.09	63.53
bfbbe33e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	1.0	79.67	80.47	85.35	85.32
bfbe5d30-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	1.0	41.24	39.07	49.85	46.53
bfbc87f8-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.001	9.67	9.58	25.66	24.79
bfbb4636-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	0.10000000000000001	70.72	73.08	77.35	78.82
bfbc7d30-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	0.01	56.05	58.98	65.69	67.39
bfbc2ccc-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	1.0	75.86	77.39	81.9	82.95
bfbef632-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	1	0.10000000000000001	17.39	16.24	30.42	27.58
bfbbd42a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	1.0	76.84	77.55	82.84	83.2
bfbb49e2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	1.0	79.72	80.62	85.36	85.87
bfbd34d2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	0.001	0.65	0.65	19.46	17.3
bfbb64fe-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	0.10000000000000001	66.78	69.93	73.5	75.52
bfbea772-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	0.001	1.77	1.91	8.4	7.68
bfbd6d1c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	0.001	5.24	5.04	17.74	16.09
bfbd8a40-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	10	0.001	1.9	2.26	19.62	17.8
bfbc0c1a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	0.10000000000000001	70.45	72.24	77.26	78.61
